,DLLlist_Win10x64-mimi20150502,DLLlist_Win10x64-mimi20160501,DLLlist_Win10x64-mimi20170801,DLLlist_Win10x86_mimi20150502,DLLlist_Win10x86_mimi20160501,DLLlist_Win10x86_mimi20170801,DLLlist_Win7x64-mimi20150502,DLLlist_Win7x64-mimi20160501,DLLlist_Win7x64-mimi20170801,DLLlist_Win7x86-mimi20150502,DLLlist_Win7x86-mimi20160501,DLLlist_Win7x86-mimi20170801,DLLlist_Win8x64-mimi20150502,DLLlist_Win8x64-mimi20160501,DLLlist_Win8x64-mimi20170801,DLLlist_Win8x86-mimi20150502,DLLlist_Win8x86-mimi20160501,DLLlist_Win8x86-mimi20170801,DLLlist_WinSV2008R2-mimi20150501,DLLlist_WinSV2008R2-mimi20160501,DLLlist_WinSV2008R2-mimi20170801,DLLlist_WinSV2012R2-mimi20150501,DLLlist_WinSV2012R2-mimi20160501,DLLlist_WinSV2012R2-mimi20170801,DLLlist_WinSV2016-mimi20150502,DLLlist_WinSV2016-mimi20160501,DLLlist_WinSV2016-mimi20170801
C:\Windows\System32\oleaut32.dll,-,-,C:\Windows\System32\oleaut32.dll,-,-,C:\Windows\System32\oleaut32.dll,-,C:\Windows\System32\oleaut32.dll,C:\Windows\System32\oleaut32.dll,-,C:\Windows\System32\oleaut32.dll,C:\Windows\System32\oleaut32.dll,-,-,C:\Windows\System32\oleaut32.dll,-,-,C:\Windows\System32\oleaut32.dll,-,C:\Windows\System32\oleaut32.dll,C:\Windows\System32\oleaut32.dll,-,-,C:\Windows\System32\oleaut32.dll,-,-,C:\Windows\System32\oleaut32.dll,
C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,C:\Windows\System32\powrprof.dll,
C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,-,-,C:\Windows\System32\profapi.dll,-,-,C:\Windows\System32\profapi.dll,-,-,C:\Windows\System32\profapi.dll,-,-,C:\Windows\System32\profapi.dll,-,-,C:\Windows\System32\profapi.dll,-,-,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,C:\Windows\System32\profapi.dll,
C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,C:\Windows\System32\rpcrt4.dll,
C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,C:\Windows\System32\rsaenh.dll,
C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,C:\Windows\System32\samlib.dll,
C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,C:\Windows\System32\sechost.dll,
C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,C:\Windows\System32\secur32.dll,
C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,-,C:\Windows\System32\setupapi.dll,C:\Windows\System32\setupapi.dll,
C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,C:\Windows\System32\SHCore.dll,
C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,C:\Windows\System32\shell32.dll,
C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,C:\Windows\System32\shlwapi.dll,
C:\Windows\System32\srvcli.dll,-,-,C:\Windows\System32\srvcli.dll,-,-,C:\Windows\System32\srvcli.dll,-,C:\Windows\System32\srvcli.dll,C:\Windows\System32\srvcli.dll,-,C:\Windows\System32\srvcli.dll,C:\Windows\System32\srvcli.dll,-,C:\Windows\System32\srvcli.dll,C:\Windows\System32\srvcli.dll,-,C:\Windows\System32\srvcli.dll,C:\Windows\System32\srvcli.dll,-,C:\Windows\System32\srvcli.dll,C:\Windows\System32\srvcli.dll,-,C:\Windows\System32\srvcli.dll,C:\Windows\System32\srvcli.dll,-,-,C:\Windows\System32\srvcli.dll,
C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,C:\Windows\System32\sspicli.dll,
C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,
C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,C:\Windows\System32\user32.dll,
C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,-,-,C:\Windows\System32\userenv.dll,
C:\Windows\System32\usp10.dll,-,-,-,-,-,-,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,-,-,-,-,-,-,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,C:\Windows\System32\usp10.dll,-,-,-,-,-,-,
C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,C:\Windows\System32\vaultcli.dll,
C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,-,-,C:\Windows\System32\version.dll,
C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,C:\Windows\System32\win32u.dll,
C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,C:\Windows\System32\windows.storage.dll,
C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,-,-,C:\Windows\System32\WinSCard.dll,
C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,-,-,C:\Windows\System32\winsta.dll,
C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,-,C:\Windows\System32\wintrust.dll,C:\Windows\System32\wintrust.dll,
C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,C:\Windows\System32\WinTypes.dll,
C:\Windows\System32\wkscli.dll,-,-,C:\Windows\System32\wkscli.dll,-,-,C:\Windows\System32\wkscli.dll,-,C:\Windows\System32\wkscli.dll,C:\Windows\System32\wkscli.dll,-,C:\Windows\System32\wkscli.dll,C:\Windows\System32\wkscli.dll,-,C:\Windows\System32\wkscli.dll,C:\Windows\System32\wkscli.dll,-,C:\Windows\System32\wkscli.dll,C:\Windows\System32\wkscli.dll,-,C:\Windows\System32\wkscli.dll,C:\Windows\System32\wkscli.dll,-,C:\Windows\System32\wkscli.dll,C:\Windows\System32\wkscli.dll,-,-,C:\Windows\System32\wkscli.dll,
C:\Windows\System32\wlanapi.dll,C:\Windows\System32\wlanapi.dll,-,-,C:\Windows\System32\wlanapi.dll,-,-,C:\Windows\System32\wlanapi.dll,-,-,C:\Windows\System32\wlanapi.dll,-,-,C:\Windows\System32\wlanapi.dll,-,-,C:\Windows\System32\wlanapi.dll,-,-,-,-,-,-,-,-,-,-,-,
C:\Windows\System32\wlanutil.dll,-,-,-,-,-,-,C:\Windows\System32\wlanutil.dll,-,-,C:\Windows\System32\wlanutil.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,-,-,C:\Windows\System32\Wldap32.dll,
C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,-,-,-,-,C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,-,-,-,-,C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,-,-,-,-,C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,-,C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,-,C:\Windows\System32\ws2_32.dll,C:\Windows\System32\ws2_32.dll,-,
