,DLLlist_Win10x64-mimi20150502,DLLlist_Win10x64-mimi20160501,DLLlist_Win10x64-mimi20170801,DLLlist_Win10x86_mimi20150502,DLLlist_Win10x86_mimi20160501,DLLlist_Win10x86_mimi20170801,DLLlist_Win7x64-mimi20150502,DLLlist_Win7x64-mimi20160501,DLLlist_Win7x64-mimi20170801,DLLlist_Win7x86-mimi20150502,DLLlist_Win7x86-mimi20160501,DLLlist_Win7x86-mimi20170801,DLLlist_Win8x64-mimi20150502,DLLlist_Win8x64-mimi20160501,DLLlist_Win8x64-mimi20170801,DLLlist_Win8x86-mimi20150502,DLLlist_Win8x86-mimi20160501,DLLlist_Win8x86-mimi20170801,DLLlist_WinSV2008R2-mimi20150501,DLLlist_WinSV2008R2-mimi20160501,DLLlist_WinSV2008R2-mimi20170801,DLLlist_WinSV2012R2-mimi20150501,DLLlist_WinSV2012R2-mimi20160501,DLLlist_WinSV2012R2-mimi20170801,DLLlist_WinSV2016-mimi20150502,DLLlist_WinSV2016-mimi20160501,DLLlist_WinSV2016-mimi20170801
C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,
C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,
C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,
C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,
C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,C:\Windows\System32\imm32.dll,
C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,-,-,-,-,-,-,-,-,C:\Windows\System32\kernel.appcore.dll,-,-,C:\Windows\System32\kernel.appcore.dll,-,-,-,-,-,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,C:\Windows\System32\kernel.appcore.dll,
C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,C:\Windows\System32\kernel32.dll,
C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,C:\Windows\System32\KernelBase.dll,
C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,-,C:\Windows\System32\logoncli.dll,C:\Windows\System32\logoncli.dll,
C:\Windows\System32\lpk.dll,-,-,-,-,-,-,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,-,-,-,-,-,-,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,C:\Windows\System32\lpk.dll,-,-,-,-,-,-,
C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,C:\Windows\System32\msasn1.dll,
C:\Windows\System32\msctf.dll,-,-,-,-,-,-,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,C:\Windows\System32\msctf.dll,-,-,-,
